,id,Lng,Lat,Cid,tradeTime,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage
200352,BJDC87896852,116.446244,39.897173,1111027381473,2014-11-03,4,313.0,48214,64.92,3,1,1,1,6,4.0,1988,3,2,0.5,0.0,1.0,1.0,1,91970.0
203386,BJDC89655964,116.434355,39.933559,1111027376502,2015-06-21,1,550.0,81301,67.65,2,1,1,1,6,4.0,2003,4,6,0.5,0.0,1.0,1.0,1,126398.0
90493,101102312539,116.609957,39.91983,1111027375945,2017-11-19,29,370.0,54840,67.47,1,1,1,1,28,3.0,2008,4,6,0.4,1.0,1.0,0.0,7,54263.0
255130,BJHD88373896,116.320453,40.039032,1111046342806,2014-11-17,1,340.0,75893,44.8,1,1,1,1,6,4.0,1997,3,2,0.5,0.0,1.0,1.0,8,107251.0
84082,101101981383,116.381307,39.970874,1111027380697,2017-09-12,37,870.0,124642,69.8,3,1,1,1,6,4.0,1983,3,2,0.5,0.0,0.0,0.0,10,130635.0
314968,BJXC91415727,116.362351,39.925,1111027374170,2016-01-15,4,308.0,78572,39.2,1,1,1,1,20,1.0,1992,1,2,0.222,1.0,0.0,1.0,10,103031.0
84803,101102016901,116.413046,40.056407,1111027376788,2017-09-13,30,320.0,48885,65.46,2,2,1,1,6,4.0,1998,4,2,0.167,0.0,1.0,0.0,6,47772.0
39455,101100629956,116.22664,39.907108,1111027381546,2016-11-17,33,405.0,47386,85.47,2,2,1,1,6,4.0,1998,3,2,0.5,0.0,1.0,0.0,9,47958.0
254322,BJHD88153514,116.347797,39.976432,1111027380126,2014-10-26,3,830.0,59443,139.63,3,2,1,2,30,1.0,未知,4,6,0.333,1.0,1.0,1.0,8,91516.0
101187,BJCP86187128,116.351869,40.093821,1111027377892,2013-11-02,13,329.8,25942,127.13,3,2,1,2,7,4.0,2004,1,2,0.5,0.0,0.0,1.0,6,47153.0
151904,BJCY87658134,116.467726,40.005504,1111027378521,2014-06-16,3,202.0,33566,60.18,1,1,1,1,20,1.0,2000,4,6,0.25,1.0,0.0,1.0,7,63732.0
266106,BJHD91611908,116.344215,39.978789,1111027375248,2016-03-01,7,460.0,50483,91.12,1,2,1,1,25,1.0,2000,3,6,0.2,1.0,1.0,1.0,8,77107.0
41785,101100677132,116.590404,39.918459,1111027382500,2016-10-07,4,222.5,49445,45.0,1,1,1,1,5,4.0,1987,3,2,0.333,0.0,0.0,1.0,7,46847.0
161567,BJCY88772684,116.42022,40.044807,1111027379889,2015-01-29,2,436.0,32864,132.67,3,1,1,2,32,1.0,2008,4,6,0.444,1.0,1.0,1.0,7,62595.0
258777,BJHD89312548,116.349984,39.992769,1111027382338,2015-05-24,3,194.5,46755,41.6,1,1,1,1,6,4.0,1990,4,4,0.25,0.0,1.0,1.0,8,86119.0
157356,BJCY88330892,116.418802,40.010659,1111027375984,2014-10-12,2,450.0,39659,113.47,2,1,1,1,30,1.0,2008,4,6,0.4,1.0,0.0,1.0,7,79346.0
170309,BJCY89595143,116.423442,39.994638,1111027375395,2015-11-24,18,275.0,41692,65.96,2,1,1,1,18,1.0,1987,3,6,0.25,1.0,0.0,1.0,7,72315.0
79753,101101758295,116.325385,39.984968,1111027376959,2017-09-24,9,678.0,105444,64.3,2,1,1,1,10,3.0,1980,4,6,0.25,1.0,1.0,1.0,8,117529.0
28932,101100450219,116.478715,39.916424,1111027380171,2016-08-31,4,830.0,65874,126.0,2,2,1,2,30,1.0,2005,4,6,0.5,1.0,0.0,1.0,7,79774.0
290439,BJTJ88543669,116.689244,39.873245,1111027376743,2015-02-09,4,248.0,21163,117.19,3,2,1,2,11,4.0,2005,4,6,0.5,1.0,1.0,1.0,11,49350.0
14110,101100204657,116.280601,40.037442,1111027378170,2016-07-27,10,380.0,55418,68.57,2,1,1,1,6,4.0,1996,3,2,0.5,0.0,0.0,1.0,8,61954.0
289303,BJTJ87467770,116.674125,39.888623,1111027379547,2014-07-30,5,172.5,21014,82.09,2,1,1,1,20,1.0,未知,4,6,0.167,1.0,1.0,1.0,11,44385.0
293470,BJTJ91319244,116.661047,39.932185,1111027374247,2016-01-05,1,255.0,24335,104.79,3,1,1,1,7,4.0,1998,3,2,0.5,0.0,1.0,0.0,11,42363.0
91492,101102372976,116.410104,40.013713,1111027375535,2017-12-11,35,975.0,68168,143.03,3,2,1,2,6,4.0,1997,1,2,0.5,0.0,1.0,1.0,7,57134.0
262723,BJHD90541392,116.355665,40.016785,1111027378796,2015-10-26,7,686.0,53014,129.4,3,2,1,2,16,4.0,2005,4,6,0.5,1.0,1.0,0.0,8,77823.0
292785,BJTJ90514652,116.659929,39.908429,1111027375173,2015-10-22,13,170.0,30417,55.89,2,1,1,1,6,4.0,1982,3,2,0.333,0.0,1.0,0.0,11,46711.0
259285,BJHD89428758,116.372382,39.958962,1111027382609,2016-02-27,21,220.0,54321,40.5,1,1,1,1,6,4.0,1994,3,2,0.5,0.0,1.0,1.0,8,84206.0
194172,BJCY92139901,116.47773,40.002156,1111027380317,2016-05-25,12,521.0,54091,96.32,3,1,1,1,30,1.0,1998,4,6,0.25,1.0,1.0,1.0,7,60348.0
146803,BJCY86735202,116.497552,39.96603,1111027378010,2013-11-21,2,365.0,40696,89.69,2,2,1,1,20,1.0,2003,1,6,0.333,1.0,1.0,1.0,7,60578.0
149939,BJCY87311047,116.436169,40.001247,1111027379323,2014-06-22,3,498.0,33046,150.7,4,2,1,2,22,1.0,1996,4,6,0.25,1.0,1.0,1.0,7,62456.0
253588,BJHD87932994,116.294695,39.918281,1111027380460,2014-10-19,5,411.0,54416,75.53,3,1,1,1,6,4.0,1987,3,2,0.2,0.0,1.0,1.0,8,102396.0
118244,BJCP91961837,116.311776,40.084907,1111027375926,2016-05-09,61,283.0,38499,73.51,2,2,1,1,6,4.0,未知,4,2,0.5,0.0,1.0,0.0,6,44513.0
100900,BJCP86071533,116.416156,40.082585,1111027380054,2014-06-26,30,273.8,17261,158.63,3,2,1,2,18,4.0,2003,4,2,0.5,1.0,0.0,1.0,6,33820.0
311262,BJXC89759513,116.358465,39.940861,1111027377179,2015-07-08,1,476.0,70823,67.21,1,1,1,1,14,3.0,2005,4,6,0.333,1.0,0.0,1.0,10,102282.0
5648,101092053981,116.432429,39.866533,1111027374322,2016-07-20,60,450.0,42013,107.11,3,1,1,2,18,1.0,2000,4,6,0.182,1.0,1.0,1.0,2,57161.0
306367,BJXC88383516,116.344985,39.891739,1111027381801,2014-11-16,1,369.0,47103,78.34,2,1,1,1,25,1.0,2006,1,6,0.231,1.0,1.0,1.0,10,89350.0
40263,101100645055,116.472698,39.933587,1111027379868,2016-10-04,6,316.5,69714,45.4,2,1,1,1,12,1.0,1981,4,6,0.167,1.0,1.0,1.0,7,69700.0
198127,BJDC85808503,116.432862,39.948968,1111027374075,2013-09-12,16,423.5,56869,74.47,2,1,1,1,16,4.0,2003,1,6,1.333,1.0,1.0,1.0,1,94968.0
218074,BJDX91910529,116.337956,39.714942,1111027381163,2016-05-21,15,205.0,25594,80.1,2,1,1,1,6,4.0,未知,3,2,0.333,0.0,1.0,0.0,4,36258.0
175898,BJCY90210568,116.471076,39.995318,1111027374001,2015-09-29,5,346.0,51328,67.41,2,1,1,1,28,1.0,2000,4,6,0.333,1.0,1.0,1.0,7,78573.0
17865,101100269741,116.265066,40.166068,1111027379515,2016-07-22,14,180.0,30000,60.0,2,1,1,1,18,4.0,2009,4,6,0.125,1.0,0.0,0.0,6,45933.0
315874,BJXC91671786,116.391726,39.978788,1111027382272,2016-03-06,6,581.0,79481,73.1,2,1,1,1,24,1.0,1990,3,2,0.25,1.0,1.0,1.0,10,121898.0
175267,BJCY90124361,116.50891,39.920223,1111027376915,2015-09-16,2,500.0,39959,125.13,3,2,1,2,13,3.0,未知,4,6,0.4,1.0,1.0,0.0,7,61932.0
219061,BJFS90908718,116.128533,39.723864,1111027377376,2015-12-30,6,124.8,15958,78.21,1,1,1,1,13,1.0,2011,4,6,0.25,1.0,0.0,1.0,5,30846.0
235973,BJFT90677412,116.436604,39.852209,1111046557914,2015-12-07,9,245.0,31431,77.95,2,1,1,1,24,1.0,未知,4,6,0.25,1.0,0.0,1.0,2,57233.0
11245,101092335920,116.224012,39.763726,1111053458322,2016-06-26,1,284.5,31960,89.02,3,2,1,1,20,3.0,2012,3,6,0.5,1.0,0.0,1.0,5,38758.0
111646,BJCP90116938,116.43942,40.072066,1111027380051,2015-09-27,16,218.0,21506,101.37,2,1,1,1,16,1.0,2001,4,2,0.25,1.0,1.0,0.0,6,40934.0
182414,BJCY91058746,116.451993,39.896532,1111027374686,2016-02-21,21,272.0,47067,57.79,2,1,1,1,6,4.0,1991,3,2,0.5,0.0,1.0,1.0,1,71761.0
238566,BJFT91664951,116.389141,39.850859,1111027381661,2016-03-18,4,450.0,50722,88.72,2,2,1,1,19,4.0,2010,3,6,0.667,1.0,0.0,1.0,2,66712.0
73340,101101456262,116.128533,39.723864,1111027377376,2017-07-09,66,450.0,31048,144.94,3,1,1,2,11,4.0,2008,4,6,0.5,1.0,1.0,1.0,5,30846.0
151365,BJCY87580146,116.564943,39.927447,1111027378381,2014-05-18,1,375.0,30847,121.57,3,2,2,1,6,4.0,2003,4,2,0.5,0.0,1.0,1.0,7,53315.0
24981,101100388409,116.605893,40.054165,1111027373802,2016-08-06,3,180.0,26866,67.0,2,1,1,1,6,4.0,1996,4,2,0.5,0.0,0.0,0.0,7,39306.0
230448,BJFT88391051,116.359122,39.851219,1111027376530,2014-12-10,1,290.8,36004,80.77,2,1,1,1,18,4.0,2003,3,6,2.0,1.0,1.0,1.0,2,58737.0
209792,BJDX85279440,116.346109,39.756539,1111027375859,2013-03-04,3,85.0,21602,39.35,2,1,1,1,6,4.0,1994,1,2,0.5,0.0,1.0,1.0,4,39243.0
32072,101100502297,116.430966,40.05675,1111041153546,2016-09-27,29,764.0,75190,101.61,3,1,1,1,27,3.0,2012,1,6,0.667,1.0,0.0,0.0,7,75110.0
98570,BJCP85392829,116.363217,40.082639,1111027378207,2013-09-16,12,287.5,23060,124.68,3,2,1,2,6,4.0,2006,1,2,0.5,0.0,1.0,1.0,6,42878.0
204019,BJDC89996099,116.414432,39.977111,1111027375569,2015-12-12,12,250.0,50262,49.74,1,1,1,1,18,1.0,1996,3,6,0.333,1.0,1.0,1.0,1,87505.0
66545,101101234399,116.341599,39.726005,1111027376726,2017-03-16,14,456.0,46271,98.55,3,1,1,1,5,4.0,1995,3,2,0.5,0.0,1.0,1.0,4,37374.0
39999,101100639995,116.566103,39.92841,1111027378380,2016-10-06,31,530.0,49321,107.46,2,1,1,1,10,4.0,2003,1,6,0.25,1.0,0.0,1.0,7,56764.0
20252,101100312380,116.462116,39.973094,1111027377484,2016-09-14,6,1090.0,74019,147.26,3,2,2,1,27,1.0,2006,3,6,0.333,1.0,1.0,0.0,7,90017.0
204595,BJDC90480108,116.414991,39.965726,1111027375660,2015-11-14,22,336.0,56471,59.5,2,1,1,1,14,3.0,1987,4,6,0.167,1.0,1.0,1.0,1,87189.0
173020,BJCY89837463,116.498691,39.922943,1111027377597,2015-12-20,8,280.0,46902,59.7,1,0,1,1,24,4.0,未知,4,6,0.4,1.0,0.0,0.0,7,84945.0
177884,BJCY90492610,116.495008,39.992417,1111027373913,2015-10-24,8,151.0,31205,48.39,2,1,1,1,5,4.0,1978,3,4,0.333,0.0,1.0,1.0,7,52249.0
200706,BJDC88120570,116.444673,39.880008,1111027382283,2015-02-27,9,164.5,43984,37.4,1,0,1,1,18,4.0,未知,4,6,0.333,1.0,1.0,1.0,1,71761.0
271697,BJSJ86197248,116.247008,39.906426,1111027382209,2013-08-17,3,433.0,38981,111.08,2,1,1,2,26,3.0,2006,1,6,0.333,1.0,0.0,1.0,9,64222.0
77058,101101629287,116.374459,39.995227,1111027382696,2017-09-09,1,540.0,87663,61.6,2,1,1,1,18,1.0,1993,4,6,0.2,1.0,1.0,0.0,8,81499.0
309302,BJXC89271441,116.393941,39.968963,1111027378996,2015-06-10,13,417.0,72903,57.2,2,1,1,1,6,4.0,1984,3,2,0.5,0.0,1.0,1.0,10,118423.0
299335,BJXC85417709,116.353371,39.945198,1111027376754,2013-09-15,17,275.0,43308,63.5,2,1,1,1,6,4.0,1992,1,2,0.05,0.0,0.0,1.0,10,96357.0
227318,BJFT86648003,116.306494,39.841008,1111027381705,2014-01-14,15,760.0,37255,204.0,3,2,1,2,29,1.0,2005,1,6,0.667,1.0,0.0,1.0,2,60244.0
24386,101100378924,116.432684,40.077562,1111027380057,2016-08-18,7,429.0,32897,130.41,3,1,1,2,12,4.0,2008,4,6,0.5,1.0,1.0,0.0,6,38384.0
211365,BJDX86163596,116.341759,39.755588,1111027376441,2013-08-26,3,240.0,23926,100.31,2,2,1,1,17,3.0,2007,1,6,0.333,1.0,0.0,1.0,4,46505.0
214286,BJDX89049033,116.318055,39.770087,1111027377095,2015-04-04,5,344.0,29310,117.37,3,2,1,2,9,4.0,2012,4,6,0.5,1.0,0.0,0.0,4,52370.0
248351,BJHD85791432,116.380145,39.985424,1111027381484,2013-07-19,5,224.5,56836,39.5,1,1,1,1,6,4.0,1987,1,2,0.333,0.0,1.0,1.0,8,82764.0
185781,BJCY91410386,116.603501,39.919667,1111027377416,2016-01-16,3,150.0,27003,55.55,1,1,1,1,6,4.0,1996,2,2,0.5,0.0,0.0,1.0,7,43307.0
11292,101092337558,116.456102,39.931183,1111027374717,2016-09-28,5,450.0,72581,62.0,3,1,1,1,5,4.0,1976,3,4,0.333,0.0,1.0,1.0,7,74171.0
305525,BJXC88094672,116.375232,39.890415,1111027374432,2015-06-22,30,318.0,46731,68.05,2,1,1,1,6,4.0,1998,3,6,0.25,0.0,1.0,1.0,10,80516.0
40238,101100644599,116.257014,40.054948,1111027376153,2016-12-15,45,1090.0,80201,135.91,3,1,1,2,9,3.0,2008,4,6,0.333,1.0,0.0,1.0,8,75490.0
49875,101100868636,116.188935,40.054103,1111027379217,2017-03-24,73,945.0,62583,151.0,3,2,1,2,9,4.0,2012,4,6,0.5,1.0,0.0,0.0,8,56762.0
182425,BJCY91060559,116.594801,39.928019,1111027375966,2015-12-06,6,326.0,32584,100.05,2,1,1,1,22,1.0,2004,4,6,0.25,1.0,1.0,1.0,7,55339.0
262768,BJHD90558107,116.220503,39.98275,1111027378414,2015-11-08,4,263.0,28159,93.4,2,1,1,1,4,4.0,2008,1,6,0.5,0.0,0.0,0.0,8,51668.0
136221,BJCY85435041,116.572491,39.853078,1111027374301,2013-05-27,1,415.0,25578,162.25,3,2,1,2,10,4.0,2004,1,6,0.5,1.0,1.0,0.0,7,48141.0
315531,BJXC91592861,116.391726,39.978788,1111027382272,2016-03-10,4,566.0,94491,59.9,2,1,1,1,6,4.0,1989,3,2,0.5,0.0,1.0,1.0,10,121898.0
12918,101100186621,116.42022,40.044807,1111027379889,2016-07-04,13,330.0,48190,68.48,1,1,1,1,32,1.0,2008,4,6,0.444,1.0,1.0,1.0,7,62595.0
215245,BJDX89710402,116.430535,39.79321,1111027377532,2015-09-20,1,298.0,20293,146.85,3,2,1,2,6,4.0,2002,3,4,0.5,0.0,1.0,0.0,2,41507.0
232845,BJFT89312825,116.382479,39.856115,1111027376402,2015-05-30,5,184.5,33358,55.31,2,1,1,1,6,4.0,1996,1,2,0.5,0.0,1.0,1.0,2,58108.0
70464,101101333421,116.46028,39.957618,1111027381357,2017-03-20,18,360.0,98388,36.59,1,1,1,1,6,4.0,1983,4,4,0.333,0.0,1.0,1.0,7,65355.0
25464,101100394594,116.265774,40.170928,1111027375904,2016-08-21,22,130.0,35003,37.14,1,0,1,1,17,4.0,2011,4,6,0.167,1.0,0.0,0.0,6,43737.0
172916,BJCY89825929,116.462116,39.973094,1111027377484,2015-12-12,12,825.0,56670,145.58,3,2,1,2,14,3.0,2004,3,6,0.667,1.0,1.0,0.0,7,90017.0
42926,101100702353,116.354295,39.891958,1111027375735,2016-11-11,43,560.0,96552,58.0,2,1,1,1,5,4.0,1992,4,2,0.5,0.0,1.0,0.0,10,93030.0
226076,BJFT85949461,116.295141,39.843191,1111027376963,2013-07-26,2,216.0,35468,60.9,3,1,1,1,6,4.0,1991,1,2,0.333,0.0,0.0,1.0,2,52097.0
26248,101100406040,116.399275,39.958385,1111027378025,2016-08-10,16,483.0,108054,44.7,1,1,1,1,6,4.0,1990,3,2,0.25,0.0,1.0,1.0,10,138746.0
117140,BJCP91719984,116.335484,40.09232,1111027381985,2016-03-13,6,300.0,35529,84.44,2,1,1,1,7,4.0,2000,4,2,0.5,0.0,1.0,1.0,6,45871.0
58839,101101069629,116.352183,39.915674,1111027374124,2017-02-27,45,550.0,126437,43.5,1,1,1,1,16,1.0,未知,3,2,0.286,1.0,1.0,1.0,10,109084.0
228015,BJFT87096937,116.324898,39.891441,1111027379964,2014-02-21,3,316.0,42377,74.57,2,1,1,1,26,1.0,1991,1,6,0.25,1.0,1.0,1.0,2,62231.0
189338,BJCY91674152,116.449979,39.912338,1111027376849,2016-03-27,5,688.0,49533,138.9,2,1,1,2,27,1.0,未知,4,6,0.3,1.0,1.0,1.0,7,70921.0
15059,101100220491,116.488489,39.934073,1111027380003,2016-08-26,81,325.0,47308,68.7,2,1,1,1,12,3.0,1995,3,6,0.3,1.0,1.0,1.0,7,62479.0
50595,101100885301,116.422403,39.987661,1111027380736,2016-11-30,2,465.0,72250,64.36,2,1,1,1,6,4.0,1986,1,2,0.333,0.0,1.0,1.0,7,69186.0
181969,BJCY91008401,116.605893,40.054165,1111027373802,2016-01-02,1,147.0,21902,67.12,3,1,1,1,6,4.0,1994,1,2,0.5,0.0,0.0,0.0,7,39306.0
55983,101101008068,116.342963,40.093175,1111027378137,2017-01-11,1,275.0,58140,47.3,1,1,1,1,11,4.0,2004,1,6,0.25,1.0,0.0,1.0,6,53740.0
163721,BJCY88994525,116.476467,39.888742,1111027378489,2015-08-02,82,180.5,31094,58.05,2,1,1,1,6,4.0,1984,4,2,0.5,0.0,1.0,1.0,7,59015.0
110878,BJCP89835654,116.431552,40.082903,1111027380040,2015-12-24,4,253.0,23036,109.83,2,1,1,2,12,4.0,2005,4,6,0.333,1.0,1.0,0.0,6,36869.0
105149,BJCP88189599,116.415742,40.077796,1111027380053,2014-10-08,8,200.5,24461,81.97,2,1,1,1,18,4.0,2003,3,6,0.333,1.0,1.0,1.0,6,37661.0
217197,BJDX91519844,116.348786,39.799417,1111045269268,2016-02-18,3,478.0,37570,127.23,3,2,1,2,16,4.0,2012,4,6,0.333,1.0,0.0,0.0,4,56080.0
83638,101101958970,116.172813,39.765512,1111027375831,2017-11-26,367,190.0,33463,56.78,1,1,1,1,6,4.0,2007,3,2,0.333,0.0,0.0,0.0,5,32517.0
76443,101101598021,116.513625,39.931024,1111027376401,2017-05-27,65,500.0,60321,82.89,2,1,1,1,26,3.0,1999,3,6,0.375,1.0,1.0,1.0,7,57710.0
64055,101101182435,116.444593,39.988411,1111027376827,2017-02-20,6,825.0,73393,112.41,2,2,1,2,14,3.0,2000,4,6,0.176,1.0,1.0,1.0,7,66983.0
51111,101100895143,116.212671,39.900574,1111027379019,2017-01-20,36,815.0,61136,133.31,3,2,1,2,25,3.0,2012,4,6,0.667,1.0,0.0,0.0,9,57942.0
153350,BJCY87848935,116.518854,39.939588,1111027374656,2015-09-25,18,465.0,35084,132.54,3,2,1,2,27,3.0,2006,4,6,0.4,1.0,1.0,0.0,7,58092.0
144549,BJCY86389578,116.58468,39.935758,1111027378712,2013-10-08,18,187.0,35817,52.21,1,1,1,1,10,4.0,2007,1,6,0.2,1.0,0.0,1.0,7,59730.0
315827,BJXC91662409,116.348983,39.922071,1111027379430,2016-03-07,8,780.0,102229,76.3,2,1,1,1,18,1.0,1999,3,6,0.167,1.0,1.0,0.0,10,129857.0
173362,BJCY89878991,116.491703,39.929224,1111027381766,2016-03-08,42,268.0,40307,66.49,3,1,1,1,6,4.0,1983,4,4,0.5,0.0,1.0,1.0,7,53286.0
192741,BJCY91935159,116.483653,39.88914,1111027380704,2016-05-20,15,623.0,60823,102.43,2,1,1,1,20,3.0,2008,1,6,0.5,1.0,1.0,1.0,7,80504.0
213359,BJDX88283144,116.458721,39.817347,1111027381363,2014-12-20,8,309.0,25678,120.34,3,2,1,1,6,4.0,2003,4,2,0.333,1.0,1.0,1.0,4,46635.0
233663,BJFT89598685,116.27876,39.895269,1111027376786,2016-02-22,14,340.0,34140,99.59,2,1,1,1,27,1.0,2010,4,6,0.222,1.0,1.0,0.0,2,43332.0
89561,101102263978,116.333765,40.07892,1111027378234,2017-11-28,100,276.5,65724,42.07,1,0,1,1,6,4.0,2005,1,6,0.333,0.0,1.0,1.0,6,52980.0
312259,BJXC90167090,116.366959,39.902344,1111027374886,2015-08-30,1,310.0,59150,52.41,2,0,1,1,6,4.0,1982,4,2,0.2,0.0,1.0,1.0,10,94495.0
55132,101100989727,116.332577,39.760321,1111041178256,2016-12-26,9,510.0,63119,80.8,2,2,1,1,21,4.0,2013,4,6,0.5,1.0,0.0,1.0,4,59179.0
235071,BJFT90210585,116.36724,39.815525,1111027376436,2015-10-11,4,306.0,29132,105.04,3,2,1,1,6,4.0,2005,1,2,0.5,0.0,0.0,0.0,2,54824.0
